idx_in_group,time,latitude,longitude,depth,azimuthal_gap,min_distance,vertical_uncertainty,number_picks,number_picks_nll,std_nll,max_horizontal_uncertainty,min_horizontal_uncertainty,group,magnitude,gamma_sigma_time,gamma_sigma_amp,gamma_cov_time_amp,gamma_score,number_p_picks,number_s_picks,number_p_and_s_picks,ML,ML_median,ML_unc,ML_stations,idx
24,2024-03-27 21:24:34.033815+00:00,46.358833,12.832861,3.942969,96.0818,10.2237,4.047301236626698,12,12,0.105219,0.828006,0.538016,2024-03-27,999,0.054585742288543966,0,0,12.0,6,6,6,0.752656096045157,0.7326127932653775,0.0861945571927758,4,88
16,2024-03-27 21:32:03.959524+00:00,46.358032,12.817001,8.307031,85.6203,9.50021,3.4378676821541574,18,18,0.331203,1.40906,1.09448,2024-03-27,999,0.5533910544970225,0,0,22.0,8,10,6,0.8018640701955658,0.8245437713552124,0.06523477697904514,6,89
23,2024-03-27 21:32:40.318463+00:00,46.357261,12.821819,5.550781,102.614,9.79699,4.456882789573896,11,11,0.187948,1.41339,1.03055,2024-03-27,999,0.3856699066214712,0,0,10.737266548040154,5,6,4,0.19057420632210698,0.20696739705415101,0.03647295416654364,3,90
25,2024-03-27 21:34:32.133767+00:00,46.362276,12.817563,8.287891,84.114,9.15733,2.046122014934593,35,35,0.2232,0.736823,0.585567,2024-03-27,999,0.22470545100961156,0,0,35.0,17,18,17,0.6965243628698167,0.7333600653208385,0.06905907544169086,12,91
43,2024-03-27 21:38:58.223686+00:00,46.360376,12.823225,5.550781,101.344,9.59985,3.821106724497498,14,14,0.164844,0.925228,0.618236,2024-03-27,999,0.09531813819340923,0,0,13.989042877698003,7,7,7,0.5417183271752896,0.6081208549039929,0.07609624821179566,6,92
8,2024-03-27 21:39:19.701685+00:00,46.398639,12.809727,7.771094,259.734,6.03059,3.1455667215940593,6,6,0.0553025,4.10315,1.81051,2024-03-27,999,0.5082587801339632,0,0,8.0,3,3,3,-0.2120352714545235,-0.2120352714545235,,1,93
36,2024-03-27 21:56:37.985018+00:00,46.355381,12.815929,6.450391,106.445,9.68721,2.877922688329205,20,20,0.177521,0.7432,0.565415,2024-03-27,999,0.1452533943684998,0,0,19.823913359853112,10,10,10,0.555782986394289,0.5343841032168025,0.04601418440170573,10,94
6,2024-03-27 21:59:32.084839+00:00,46.357155,12.825462,4.708594,100.473,9.98445,3.961746963146435,13,13,0.173645,1.06309,0.623337,2024-03-27,999,0.12074933028431539,0,0,13.0,6,7,6,0.422182242240678,0.39868378962068207,0.06165917902104806,6,95
40,2024-03-27 22:33:06.312717+00:00,46.35719,12.824248,4.785156,101.179,9.92147,3.5405093560107983,15,15,0.16617,0.896191,0.550758,2024-03-27,999,0.22894015507033258,0,0,15.0,8,7,7,0.641069978929122,0.6424260680199838,0.07471224652629582,7,96
41,2024-03-27 22:33:21.582291+00:00,46.350919,12.806538,8.019922,89.2618,9.70313,2.4221237581923845,31,31,0.236814,0.862061,0.664858,2024-03-27,999,0.24312566488157433,0,0,30.891179994097826,16,15,15,1.036717411294136,1.0551668170586237,0.053455151003370796,15,97
7,2024-03-27 22:45:01.714353+00:00,46.369095,12.805507,7.082031,180.214,7.98499,3.2343817956450347,9,9,0.126787,1.87231,1.40216,2024-03-27,999,0.16289404736642532,0,0,9.0,5,4,4,0.3754542534099617,0.3441286101625173,0.05993089082340918,4,98
1,2024-03-27 23:21:35.768280+00:00,46.351101,12.816582,2.488281,131.693,10.1047,3.9701893027914927,8,8,0.0578289,0.901091,0.542128,2024-03-27,999,0.03735070956066655,0,0,8.0,4,4,4,0.3761206655135691,0.40791107816791927,0.12313565181933646,4,99
31,2024-03-27 23:28:11.656725+00:00,46.354373,12.823468,1.454688,126.139,10.1274,4.323880086218858,9,9,0.0815862,0.901884,0.543494,2024-03-27,999,0.1278203927376475,0,0,9.0,5,4,4,0.13710769961107191,0.1677402095962608,0.08338721964310822,3,100
11,2024-03-27 23:31:28.004747+00:00,46.35775,12.826714,6.163281,99.6735,9.9966,3.6564115605330865,15,15,0.140447,0.944747,0.629356,2024-03-27,999,0.1452773962209905,0,0,15.0,8,7,7,0.5914654262716599,0.5717563559630006,0.03366086355395299,5,101
10,2024-03-27 23:33:04.643863+00:00,46.384605,12.879452,9.761719,141.042,2.46336,3.0090789122254673,10,10,0.102989,1.52137,0.986025,2024-03-27,999,0.048191375475031564,0,0,10.0,5,5,5,0.24864659509479292,0.24864659509479292,0.2835449583080438,2,102
12,2024-03-27 23:35:06.398908+00:00,46.351782,12.825743,1.148438,201.034,10.4623,5.1845241729593665,6,6,0.0605068,4.47246,2.19007,2024-03-27,999,0.06006906356276875,0,0,6.0,3,3,3,0.011077830500205055,0.011137384614165136,0.16370322095400025,3,103
0,2024-03-27 23:38:45.629737+00:00,46.358274,12.830394,4.555469,97.5189,10.1406,3.541456409445131,16,16,0.150872,0.836285,0.595022,2024-03-27,999,0.25908828047008275,0,0,16.0,8,8,8,0.6988000436131317,0.7051763519280088,0.06026754339594918,8,104
42,2024-03-27 23:42:10.507469+00:00,46.352361,12.816658,5.397656,105.929,9.9931,4.083422988131404,11,11,0.144327,0.999625,0.657529,2024-03-27,999,0.11243057693048535,0,0,11.0,6,5,5,0.5823260461640627,0.5576941206401904,0.13196760176005312,5,105
4,2024-03-27 23:52:00.172061+00:00,46.36273,12.823672,7.407422,100.682,9.42571,2.362361847812481,33,33,0.233978,0.902355,0.659378,2024-03-27,999,0.3368441040501535,0,0,34.0,16,17,16,0.7613962663532017,0.7642052998893604,0.05629156244308762,16,106
35,2024-03-28 00:13:54.494412+00:00,46.353132,12.81184,9.378906,53.071,8.6831,1.5366251982835633,77,77,0.288692,0.619191,0.581232,2024-03-28,999,0.41781243735289025,0,0,79.87804792351363,39,38,37,1.414824729932583,1.4663531090645154,0.04264129118725734,36,107
18,2024-03-28 00:48:22.777326+00:00,46.353254,12.818536,2.985938,132.961,9.99673,4.078367026151521,8,8,0.053451,0.908502,0.544514,2024-03-28,999,0.028595381901392082,0,0,8.0,4,4,4,0.5536192974881256,0.5593723745414809,0.02353892506961761,3,108
33,2024-03-28 00:50:11.980232+00:00,46.355789,12.829027,1.033594,201.02,10.2782,4.646444307209546,6,6,0.0709848,5.01399,2.56353,2024-03-28,999,0.01102380673077035,0,0,6.0,3,3,3,0.3455220404587822,0.3455220404587822,0.0604072648259355,2,109
47,2024-03-28 00:53:16.426748+00:00,46.350436,12.817757,7.617969,105.192,10.2172,2.8500733850201123,23,23,0.22045,0.905708,0.77289,2024-03-28,999,0.26768344011348394,0,0,23.0,12,11,11,0.8086639563796196,0.7896234648503282,0.06461571392043979,11,110
40,2024-03-28 01:01:50.882327+00:00,46.360658,12.813512,9.838281,51.0134,8.08757,1.5385938222935902,70,70,0.266094,0.647882,0.578584,2024-03-28,999,0.3823020159419635,0,0,71.0,34,36,34,1.4084614878397301,1.402491138432381,0.04675109686397327,33,111
14,2024-03-28 01:18:11.327778+00:00,46.354428,12.810703,9.378906,88.185,8.66519,2.1162659568211177,47,47,0.26094,0.716313,0.693783,2024-03-28,999,0.3219001985116731,0,0,47.0,24,23,23,1.0820394579934651,1.0580402903948372,0.04592688829121879,22,112
20,2024-03-28 02:03:11.197708+00:00,46.279639,12.750022,0.057422,123.198,2.83017,1.8592172976820112,10,10,0.0966913,1.6678,0.641936,2024-03-28,999,0.12349928171571721,0,0,10.0,5,5,5,0.48584038510388317,0.5330280583607224,0.09107565278462634,4,113
29,2024-03-28 02:28:52.624430+00:00,47.248082,11.454658,6.967187,178.051,13.4034,7.486492837103365,6,6,0.0470594,5.65891,2.7933,2024-03-28,999,0.03257103264138617,0,0,6.0,3,3,3,0.3063724942143068,0.3063724942143068,0.019408571897071458,2,114
50,2024-03-28 02:33:57.646604+00:00,46.320403,13.262285,12.230859,59.2598,7.31025,1.3535358916556295,73,73,0.242719,0.693795,0.518112,2024-03-28,999,0.3116167917797888,0,0,73.0,37,36,36,1.4625151046617433,1.5108035081486109,0.06495399273095485,35,115
51,2024-03-28 02:36:14.988530+00:00,46.354786,12.814677,9.053516,35.3305,8.3977,1.5317069726289032,138,138,0.444254,0.56401,0.531621,2024-03-28,999,0.459130746950451,0,0,147.94056074557636,89,49,49,2.6341252443384886,2.6434388918681044,0.04070745126236954,49,116
23,2024-03-28 02:51:24.819918+00:00,46.359531,12.80341,10.010547,49.2509,8.7616,1.4484800067657129,80,80,0.268184,0.637141,0.569399,2024-03-28,999,0.42967687673730437,0,0,83.0,40,40,39,1.50775603931448,1.5374536207390874,0.04155637434881819,38,117
31,2024-03-28 02:56:13.232537+00:00,46.27806,12.928145,3.445312,173.083,3.69189,2.793668358986084,8,8,0.066914,3.03888,0.820031,2024-03-28,999,0.02738058956636409,0,0,8.0,4,4,4,0.4682531475847969,0.5482660053250229,0.20574413745686032,4,118
42,2024-03-28 03:08:03.727570+00:00,46.364071,12.815543,9.034375,84.4132,8.90434,2.552996670581456,30,30,0.281368,0.868137,0.839758,2024-03-28,999,0.3436561585592375,0,0,29.682645738767622,15,15,15,0.6793143108220184,0.6949876416800762,0.04598824389597788,14,119
17,2024-03-28 03:29:18.673255+00:00,46.353727,12.813092,7.388281,104.42,9.71174,3.086374086205365,20,20,0.224917,0.979434,0.659493,2024-03-28,999,0.31065128917397694,0,0,20.0,10,10,10,0.5565683548527823,0.5570437687851381,0.07723694215486114,10,120
45,2024-03-28 03:33:40.271167+00:00,46.355206,12.811054,9.359766,88.0733,8.59176,1.8635108800326334,43,43,0.245175,0.813551,0.653742,2024-03-28,999,0.3036666188389163,0,0,44.0,22,21,21,0.9674448702740284,1.0050528819543358,0.046893177143910586,20,121
